location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Central School, Lucknow - CPCB",Lucknow,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,2.81,µg/m³,26.8821003,80.9302753,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,4,µg/m³,17.540891,78.358528,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,29.34,µg/m³,26.1209,85.3647,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IGSC Planetarium Complex, Patna - BSPCB",Patna,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,11.2,µg/m³,25.5941,85.1376,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sector-6, Panchkula - HSPCB ",Panchkula,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,0,µg/m³,30.7057778,76.8531805555555,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Chandrapur, Chandrapur - MPCB",Chandrapur,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,8,µg/m³,19.645324,77.6345232,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sector- 16A, Faridabad - HSPCB",Faridabad,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,36.94,µg/m³,28.4088421,77.3099081,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,1.62,µg/m³,12.990328,77.5431385,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.3,µg/m³,17.72,83.3,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Tirumala, Tirupati - APPCB",Tirupati,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,4.9,µg/m³,13.67,79.35,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,13.33,µg/m³,23.707909,86.41467,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Colaba, Mumbai - MPCB",Mumbai,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,0.46,µg/m³,18.91,72.82,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Worli, Mumbai - MPCB",Mumbai,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,5.29,µg/m³,18.9936162,72.8128113,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Fort William, Kolkata - WBPCB",Kolkata,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,8.5,µg/m³,22.55664,88.342674,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.2,µg/m³,17.4342359,78.4170318,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,11,µg/m³,8.5149093,76.9435879,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Collectorate, Gaya - BSPCB",Gaya,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,16,µg/m³,24.7955,84.9994,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"MD University, Rohtak - HSPCB",Rohtak,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,10.67,µg/m³,28.870083,76.6205,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Bandra, Mumbai - MPCB",Mumbai,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,15.8,µg/m³,19.041847,72.865513,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
